ident,latitude_deg,longitude_deg,iso_country
CHC,40.010101318359375,-83.02899932861328,US
CHD,33.26649856567383,-111.80799865722656,US
CHE,40.52009963989258,-107.30500030517578,US
CHN,27.51000022888184,-81.88330078125,US
CHQ,36.84510040283203,-89.35669708251953,US
CHS,32.8942985534668,-80.03780364990234,US
CHT,39.777099609375,-93.49420166015624,US
CHU,43.58689880371094,-91.49040222167967,US
CHX,26.71640014648437,-108.33000183105467,MX
CI,46.33250045776367,-84.54229736328125,US
CI,41.88570022583008,-91.80239868164062,US
CIC,39.789798736572266,-121.84700012207033,US
CID,41.88750076293945,-91.78569793701172,US
CIE,32.03340148925781,-109.75800323486328,US
CII,47.8224983215332,-112.1709976196289,US
CIM,36.49140167236328,-104.87200164794922,US
CIN,42.04499816894531,-94.7852020263672,US
CIP,41.14630126953125,-79.45800018310547,US
CIR,37.06169891357422,-89.22339630126953,US
CJ,39.79710006713867,-89.59200286865234,US
CJJ,43.36600112915039,-92.13099670410156,US
CJS,31.636199951171875,-106.427001953125,MX
CJY,43.05279922485352,-75.26429748535156,US
CK,36.527099609375,-87.3864974975586,US
CKB,39.25320053100586,-80.26789855957031,US
CKC,47.8400993347168,-90.3855972290039,US
CKH,21.265199661254883,-157.7030029296875,US
CKI,33.71780014038086,-79.8550033569336,US
CKM,34.292999267578125,-90.51570129394533,US
CKN,47.83940124511719,-96.61589813232422,US
CKP,42.732200622558594,-95.5531005859375,US
CKV,36.62200164794922,-87.41259765625,US
CKW,41.75569915771485,-107.58200073242188,US
CKZ,40.390899658203125,-75.28880310058594,US
CL,48.0088996887207,-66.43689727783203,CA
CL,41.338600158691406,-81.96440124511719,US
CL,30.49370002746582,-96.33769989013672,US
CL,48.14239883422852,-123.66999816894533,US
CL,35.157798767089844,-81.02030181884766,US
CLB,34.106300354003906,-77.96170043945312,US
CLI,44.61880111694336,-88.73320007324219,US
CLK,35.53919982910156,-98.93509674072266,US
CLL,30.604999542236328,-96.4207000732422,US
CLT,35.19029998779297,-80.95169830322266,US
CM,47.115699768066406,-88.40119934082031,US
CM,39.98619842529297,-82.75450134277344,US
